"No	""Status""	""Enabled""	""Sample ID""	""Sample description""	""Sample type""	""Method""	""Repeat""	""Vial no.""	""Inj. vol.""	""Dilution""	""Concentration""	""Smp. vol.""",
"1	""Partial success with warning"," finished on: 2025-04-16T12:56:51-04""	""Yes""	""Blank ""	""MPA""	""Blank""	""IVT monitoring - 96 well_2mmNeedleHeight (rev. 1)""	""1""	""1.A.1""	""100""	""0""	""0""	""0"""
"2	""Successful"," finished on: 2025-04-16T13:05:25-04""	""Yes""	""Blank  1""	""MPA""	""Blank""	""IVT monitoring - 96 well_2mmNeedleHeight (rev. 1)""	""1""	""1.A.1""	""100""	""0""	""0""	""0"""
"3	""Successful"," finished on: 2025-04-16T13:14:00-04""	""Yes""	""Blank  2""	""MPA""	""Blank""	""IVT monitoring - 96 well_2mmNeedleHeight (rev. 1)""	""1""	""1.A.1""	""100""	""0""	""0""	""0"""
"4	""Successful"," finished on: 2025-04-16T13:15:25-04""	""Yes""	""Stop""	""Stop""	""Blank""	""Stop method  - 96 well_2mm Needle Height (rev. 2)""	""1""	""1.A.1""	""50""	""0""	""0""	""0"""
"5	""Successful"," finished on: 2025-04-17T11:21:21-04""	""Yes""	""Blank  3""	""MPA""	""Blank""	""IVT monitoring - 96 well_2mmNeedleHeight (rev. 1)""	""3""	""1.A.1""	""100""	""0""	""0""	""0"""
"6	""Successful"," finished on: 2025-04-17T11:22:46-04""	""Yes""	""Stop 1""	""Stop""	""Blank""	""Stop method  - 96 well_2mm Needle Height (rev. 2)""	""1""	""1.A.1""	""50""	""0""	""0""	""0"""
"7	""Successful"," finished on: 2025-04-17T16:58:49-04""	""Yes""	""Blank  4""	""MPA""	""Blank""	""IVT monitoring - 96 well_2mmNeedleHeight (rev. 1)""	""2""	""1.A.1""	""100""	""0""	""0""	""0"""
"8	""Successful"," finished on: 2025-04-17T17:07:24-04""	""Yes""	""SST Sample""	""""	""Sample""	""IVT monitoring - 96 well_2mmNeedleHeight (rev. 1)""	""1""	""1.A.4""	""100""	""0""	""0""	""0"""
"9	""Successful"," finished on: 2025-04-17T17:15:58-04""	""Yes""	""Blank  14""	""MPA""	""Blank""	""IVT monitoring - 96 well_2mmNeedleHeight (rev. 1)""	""1""	""1.A.1""	""100""	""0""	""0""	""0"""
"10	""Successful"," finished on: 2025-04-17T17:24:34-04""	""Yes""	""ATP_0.5uM""	""ATP_0.5uM""	""Sample""	""IVT monitoring - 96 well_2mmNeedleHeight (rev. 1)""	""1""	""1.B.1""	""100""	""0""	""0.5""	""0"""
"11	""Successful"," finished on: 2025-04-17T17:33:09-04""	""Yes""	""ATP_1uM""	""ATP_1uM""	""Sample""	""IVT monitoring - 96 well_2mmNeedleHeight (rev. 1)""	""1""	""1.B.2""	""100""	""0""	""1""	""0"""
"12	""Successful"," finished on: 2025-04-17T17:41:44-04""	""Yes""	""ATP_3uM""	""ATP_3uM""	""Sample""	""IVT monitoring - 96 well_2mmNeedleHeight (rev. 1)""	""1""	""1.B.3""	""100""	""0""	""3""	""0"""
"13	""Successful"," finished on: 2025-04-17T17:50:20-04""	""Yes""	""ATP_5uM""	""ATP_5uM""	""Sample""	""IVT monitoring - 96 well_2mmNeedleHeight (rev. 1)""	""1""	""1.B.4""	""100""	""0""	""5""	""0"""
"14	""Successful"," finished on: 2025-04-17T17:58:55-04""	""Yes""	""ATP_10uM""	""ATP_10uM""	""Sample""	""IVT monitoring - 96 well_2mmNeedleHeight (rev. 1)""	""1""	""1.B.5""	""100""	""0""	""10""	""0"""
"15	""Successful"," finished on: 2025-04-17T18:07:30-04""	""Yes""	""ATP_20uM""	""ATP_20uM""	""Sample""	""IVT monitoring - 96 well_2mmNeedleHeight (rev. 1)""	""1""	""1.B.6""	""100""	""0""	""20""	""0"""
"16	""Successful"," finished on: 2025-04-17T18:16:05-04""	""Yes""	""Blank  5""	""MPA""	""Blank""	""IVT monitoring - 96 well_2mmNeedleHeight (rev. 1)""	""1""	""1.A.2""	""100""	""0""	""0""	""0"""
"17	""Successful"," finished on: 2025-04-17T18:24:40-04""	""Yes""	""CTP_0.5uM""	""ATP_0.5uM""	""Sample""	""IVT monitoring - 96 well_2mmNeedleHeight (rev. 1)""	""1""	""1.B.7""	""100""	""0""	""0.5""	""0"""
"18	""Successful"," finished on: 2025-04-17T18:33:15-04""	""Yes""	""CTP_1uM""	""ATP_1uM""	""Sample""	""IVT monitoring - 96 well_2mmNeedleHeight (rev. 1)""	""1""	""1.B.8""	""100""	""0""	""1""	""0"""
"19	""Successful"," finished on: 2025-04-17T18:41:51-04""	""Yes""	""CTP_3uM""	""ATP_3uM""	""Sample""	""IVT monitoring - 96 well_2mmNeedleHeight (rev. 1)""	""1""	""1.B.9""	""100""	""0""	""3""	""0"""
"20	""Successful"," finished on: 2025-04-17T18:50:27-04""	""Yes""	""CTP_5uM""	""ATP_5uM""	""Sample""	""IVT monitoring - 96 well_2mmNeedleHeight (rev. 1)""	""1""	""1.B.10""	""100""	""0""	""5""	""0"""
"21	""Successful"," finished on: 2025-04-17T18:59:03-04""	""Yes""	""CTP_10uM""	""ATP_10uM""	""Sample""	""IVT monitoring - 96 well_2mmNeedleHeight (rev. 1)""	""1""	""1.B.11""	""100""	""0""	""10""	""0"""
"22	""Successful"," finished on: 2025-04-17T19:07:39-04""	""Yes""	""CTP_20uM""	""ATP_20uM""	""Sample""	""IVT monitoring - 96 well_2mmNeedleHeight (rev. 1)""	""1""	""1.B.12""	""100""	""0""	""20""	""0"""
"23	""Successful"," finished on: 2025-04-17T19:16:14-04""	""Yes""	""Blank  6""	""MPA""	""Blank""	""IVT monitoring - 96 well_2mmNeedleHeight (rev. 1)""	""1""	""1.A.2""	""100""	""0""	""0""	""0"""
"24	""Successful"," finished on: 2025-04-17T19:24:50-04""	""Yes""	""GTP_0.5uM""	""ATP_0.5uM""	""Sample""	""IVT monitoring - 96 well_2mmNeedleHeight (rev. 1)""	""1""	""1.C.1""	""100""	""0""	""0.5""	""0"""
"25	""Successful"," finished on: 2025-04-17T19:33:25-04""	""Yes""	""GTP_1uM""	""ATP_1uM""	""Sample""	""IVT monitoring - 96 well_2mmNeedleHeight (rev. 1)""	""1""	""1.C.2""	""100""	""0""	""1""	""0"""
"26	""Successful"," finished on: 2025-04-17T19:42:01-04""	""Yes""	""GTP_3uM""	""ATP_3uM""	""Sample""	""IVT monitoring - 96 well_2mmNeedleHeight (rev. 1)""	""1""	""1.C.3""	""100""	""0""	""3""	""0"""
"27	""Successful"," finished on: 2025-04-17T19:50:37-04""	""Yes""	""GTP_5uM""	""ATP_5uM""	""Sample""	""IVT monitoring - 96 well_2mmNeedleHeight (rev. 1)""	""1""	""1.C.4""	""100""	""0""	""5""	""0"""
"28	""Successful"," finished on: 2025-04-17T19:59:13-04""	""Yes""	""GTP_10uM""	""ATP_10uM""	""Sample""	""IVT monitoring - 96 well_2mmNeedleHeight (rev. 1)""	""1""	""1.C.5""	""100""	""0""	""10""	""0"""
"29	""Successful"," finished on: 2025-04-17T20:07:49-04""	""Yes""	""GTP_20uM""	""ATP_20uM""	""Sample""	""IVT monitoring - 96 well_2mmNeedleHeight (rev. 1)""	""1""	""1.C.6""	""100""	""0""	""20""	""0"""
"30	""Successful"," finished on: 2025-04-17T20:16:24-04""	""Yes""	""Blank  7""	""MPA""	""Blank""	""IVT monitoring - 96 well_2mmNeedleHeight (rev. 1)""	""1""	""1.A.2""	""100""	""0""	""0""	""0"""
"31	""Successful"," finished on: 2025-04-17T20:25:00-04""	""Yes""	""UTP_0.5uM""	""ATP_0.5uM""	""Sample""	""IVT monitoring - 96 well_2mmNeedleHeight (rev. 1)""	""1""	""1.C.7""	""100""	""0""	""0.5""	""0"""
"32	""Successful"," finished on: 2025-04-17T20:33:36-04""	""Yes""	""UTP_1uM""	""ATP_1uM""	""Sample""	""IVT monitoring - 96 well_2mmNeedleHeight (rev. 1)""	""1""	""1.C.8""	""100""	""0""	""1""	""0"""
"33	""Successful"," finished on: 2025-04-17T20:42:11-04""	""Yes""	""UTP_3uM""	""ATP_3uM""	""Sample""	""IVT monitoring - 96 well_2mmNeedleHeight (rev. 1)""	""1""	""1.C.9""	""100""	""0""	""3""	""0"""
"34	""Successful"," finished on: 2025-04-17T20:50:48-04""	""Yes""	""UTP_5uM""	""ATP_5uM""	""Sample""	""IVT monitoring - 96 well_2mmNeedleHeight (rev. 1)""	""1""	""1.C.10""	""100""	""0""	""5""	""0"""
"35	""Successful"," finished on: 2025-04-17T20:59:24-04""	""Yes""	""UTP_10uM""	""ATP_10uM""	""Sample""	""IVT monitoring - 96 well_2mmNeedleHeight (rev. 1)""	""1""	""1.C.11""	""100""	""0""	""10""	""0"""
